,time,open,high,low,close,tick_volume,spread,real_volume
25,2021-06-08 05:25:00,0.85991,0.85998,0.85985,0.85997,67,22,0
26,2021-06-08 05:30:00,0.85997,0.86001,0.85985,0.85992,105,22,0
27,2021-06-08 05:35:00,0.85994,0.86001,0.8599,0.85999,75,22,0
28,2021-06-08 05:40:00,0.85999,0.86004,0.85986,0.85995,101,22,0
29,2021-06-08 05:45:00,0.85995,0.85998,0.85995,0.85996,21,23,0
30,2021-06-08 05:50:00,0.85996,0.86005,0.85994,0.85999,92,22,0
31,2021-06-08 05:55:00,0.85998,0.8601,0.85998,0.86009,77,22,0
32,2021-06-08 06:00:00,0.8601,0.86017,0.86007,0.86012,118,22,0
33,2021-06-08 06:05:00,0.86011,0.86015,0.86002,0.86008,59,21,0
34,2021-06-08 06:10:00,0.86008,0.86011,0.86004,0.86009,57,22,0
35,2021-06-08 06:15:00,0.86009,0.86017,0.86008,0.86017,80,22,0
36,2021-06-08 06:20:00,0.86016,0.86019,0.86011,0.86012,67,23,0
37,2021-06-08 06:25:00,0.86012,0.86014,0.86007,0.8601,50,22,0
38,2021-06-08 06:30:00,0.86007,0.86013,0.86007,0.86012,118,22,0
39,2021-06-08 06:35:00,0.86012,0.86016,0.86007,0.86009,112,22,0
40,2021-06-08 06:40:00,0.86009,0.86015,0.86003,0.86005,63,22,0
41,2021-06-08 06:45:00,0.86004,0.86014,0.86004,0.86008,33,21,0
42,2021-06-08 06:50:00,0.86008,0.86009,0.86003,0.86004,85,22,0
43,2021-06-08 06:55:00,0.86004,0.8601,0.86001,0.86008,96,22,0
44,2021-06-08 07:00:00,0.86007,0.86008,0.85997,0.85999,71,22,0
45,2021-06-08 07:05:00,0.85999,0.86004,0.85999,0.86003,28,23,0
46,2021-06-08 07:10:00,0.86003,0.86003,0.85998,0.86,21,23,0
47,2021-06-08 07:15:00,0.85999,0.86004,0.85999,0.86004,17,21,0
48,2021-06-08 07:20:00,0.86004,0.86021,0.86004,0.86021,17,22,0
49,2021-06-08 07:25:00,0.86021,0.86022,0.86016,0.8602,28,23,0
50,2021-06-08 07:30:00,0.8602,0.86022,0.86018,0.86021,25,22,0
51,2021-06-08 07:35:00,0.86021,0.86028,0.86021,0.86027,16,22,0
52,2021-06-08 07:40:00,0.86027,0.86031,0.86023,0.86027,43,21,0
53,2021-06-08 07:45:00,0.86027,0.86029,0.86026,0.86027,32,22,0
54,2021-06-08 07:50:00,0.86027,0.86032,0.86027,0.86028,23,22,0
55,2021-06-08 07:55:00,0.86028,0.8603,0.86026,0.86026,28,22,0
56,2021-06-08 08:00:00,0.86025,0.86031,0.86018,0.86028,48,21,0
57,2021-06-08 08:05:00,0.86028,0.86037,0.86028,0.8603,28,22,0
58,2021-06-08 08:10:00,0.86027,0.86032,0.86024,0.86025,48,22,0
59,2021-06-08 08:15:00,0.86025,0.86031,0.86019,0.86028,52,22,0
60,2021-06-08 08:20:00,0.86028,0.86034,0.86028,0.86033,24,22,0
61,2021-06-08 08:25:00,0.86033,0.86037,0.86027,0.86031,35,23,0
62,2021-06-08 08:30:00,0.86031,0.86045,0.86031,0.86042,58,21,0
63,2021-06-08 08:35:00,0.86042,0.86052,0.86037,0.86052,59,21,0
64,2021-06-08 08:40:00,0.86052,0.86057,0.86042,0.86042,40,20,0
65,2021-06-08 08:45:00,0.86042,0.86062,0.8604,0.86061,94,21,0
66,2021-06-08 08:50:00,0.86061,0.86066,0.86055,0.8606,41,21,0
67,2021-06-08 08:55:00,0.8606,0.86069,0.86052,0.86053,70,20,0
68,2021-06-08 09:00:00,0.86054,0.86061,0.86049,0.86052,97,19,0
69,2021-06-08 09:05:00,0.86052,0.86057,0.86015,0.86042,148,18,0
70,2021-06-08 09:10:00,0.86042,0.86043,0.86022,0.8603,121,20,0
71,2021-06-08 09:15:00,0.8603,0.86042,0.86028,0.8603,80,20,0
72,2021-06-08 09:20:00,0.8603,0.86046,0.86014,0.86017,89,18,0
73,2021-06-08 09:25:00,0.86017,0.86032,0.86003,0.86031,157,21,0
74,2021-06-08 09:30:00,0.8603,0.86032,0.86002,0.86003,90,21,0
75,2021-06-08 09:35:00,0.86007,0.86037,0.86002,0.86026,109,21,0
76,2021-06-08 09:40:00,0.86026,0.86044,0.86025,0.86035,118,22,0
77,2021-06-08 09:45:00,0.86035,0.86052,0.86032,0.86038,117,20,0
78,2021-06-08 09:50:00,0.86038,0.86041,0.86013,0.86016,111,22,0
79,2021-06-08 09:55:00,0.86017,0.86032,0.86015,0.86028,137,21,0
80,2021-06-08 10:00:00,0.86029,0.8604,0.86002,0.86017,230,20,0
81,2021-06-08 10:05:00,0.86018,0.86024,0.85999,0.86014,185,20,0
82,2021-06-08 10:10:00,0.86015,0.86049,0.86012,0.86046,254,21,0
83,2021-06-08 10:15:00,0.86046,0.86103,0.86046,0.86071,389,19,0
84,2021-06-08 10:20:00,0.86071,0.86082,0.86056,0.86078,298,21,0
85,2021-06-08 10:25:00,0.8608,0.86087,0.86067,0.86082,310,21,0
86,2021-06-08 10:30:00,0.86082,0.8609,0.86073,0.86083,203,22,0
87,2021-06-08 10:35:00,0.86085,0.861,0.86075,0.86093,184,21,0
88,2021-06-08 10:40:00,0.86094,0.86105,0.86087,0.86102,188,22,0
89,2021-06-08 10:45:00,0.86103,0.86115,0.86085,0.86105,175,20,0
90,2021-06-08 10:50:00,0.86105,0.86107,0.86082,0.86101,207,21,0
91,2021-06-08 10:55:00,0.86101,0.86104,0.86084,0.8609,163,22,0
92,2021-06-08 11:00:00,0.86091,0.861,0.86062,0.86074,234,21,0
93,2021-06-08 11:05:00,0.86074,0.86114,0.86073,0.8611,251,20,0
94,2021-06-08 11:10:00,0.86109,0.86128,0.86101,0.86128,150,22,0
95,2021-06-08 11:15:00,0.86128,0.8613,0.86104,0.86107,165,21,0
96,2021-06-08 11:20:00,0.86108,0.86116,0.86107,0.86111,142,20,0
97,2021-06-08 11:25:00,0.86111,0.86118,0.86097,0.86108,225,21,0
98,2021-06-08 11:30:00,0.86109,0.8612,0.86089,0.8612,204,19,0
99,2021-06-08 11:35:00,0.86119,0.86122,0.86089,0.86092,169,21,0
100,2021-06-08 11:40:00,0.86092,0.86097,0.86068,0.86071,233,21,0
101,2021-06-08 11:45:00,0.86071,0.86088,0.86064,0.86087,138,21,0
102,2021-06-08 11:50:00,0.86087,0.861,0.8608,0.86097,104,21,0
103,2021-06-08 11:55:00,0.86097,0.86115,0.8609,0.86091,139,21,0
104,2021-06-08 12:00:00,0.86095,0.86101,0.8608,0.86099,207,21,0
105,2021-06-08 12:05:00,0.861,0.86104,0.86063,0.86063,139,22,0
106,2021-06-08 12:10:00,0.86063,0.86067,0.86053,0.86054,95,22,0
107,2021-06-08 12:15:00,0.86054,0.8606,0.86044,0.86048,118,21,0
108,2021-06-08 12:20:00,0.86048,0.8605,0.8604,0.86041,123,22,0
109,2021-06-08 12:25:00,0.8604,0.8606,0.86038,0.86059,97,18,0
110,2021-06-08 12:30:00,0.86059,0.86068,0.8605,0.86068,86,21,0
111,2021-06-08 12:35:00,0.86068,0.8609,0.86067,0.86085,100,21,0
112,2021-06-08 12:40:00,0.86083,0.86087,0.86073,0.86082,117,21,0
113,2021-06-08 12:45:00,0.86084,0.86098,0.86074,0.86098,108,22,0
114,2021-06-08 12:50:00,0.86101,0.86101,0.86086,0.86093,140,19,0
115,2021-06-08 12:55:00,0.86093,0.86111,0.86085,0.8611,184,21,0
116,2021-06-08 13:00:00,0.8611,0.86126,0.86103,0.86106,165,18,0
117,2021-06-08 13:05:00,0.86106,0.86118,0.86096,0.86098,126,21,0
118,2021-06-08 13:10:00,0.86097,0.86108,0.86082,0.86094,208,18,0
119,2021-06-08 13:15:00,0.86093,0.86112,0.86093,0.86106,42,23,0
