time,open,high,low,close,tick_volume,spread,real_volume
2020-01-10,1.30655,1.30964,1.3041800000000001,1.30584,58031.0,18.0,0.0
2020-01-13,1.303,1.30451,1.29603,1.29882,58543.0,18.0,0.0
2020-01-14,1.29877,1.30325,1.29534,1.3018100000000001,60471.0,16.0,0.0
2020-01-15,1.30159,1.3042099999999999,1.29837,1.3037,56880.0,11.0,0.0
2020-01-16,1.30361,1.30827,1.3025,1.3077,59481.0,12.0,0.0
2020-01-17,1.30736,1.31183,1.30049,1.3005200000000001,59734.0,11.0,0.0
2020-01-20,1.2989600000000001,1.30126,1.29613,1.30068,37689.0,8.0,0.0
2020-01-21,1.30045,1.3083,1.29945,1.3045900000000001,51703.0,12.0,0.0
2020-01-22,1.30477,1.31529,1.30344,1.31378,61754.0,12.0,0.0
2020-01-23,1.31378,1.3151,1.3096700000000001,1.31235,55026.0,11.0,0.0
2020-01-24,1.31219,1.31744,1.30565,1.3072599999999999,60529.0,9.0,0.0
2020-01-27,1.3079,1.3105,1.3039,1.3054999999999999,48961.0,12.0,0.0
2020-01-28,1.30569,1.30648,1.29742,1.30267,46111.0,12.0,0.0
2020-01-29,1.30264,1.30292,1.29885,1.30155,40393.0,12.0,0.0
2020-01-30,1.3014299999999999,1.31098,1.29769,1.3090899999999999,59129.0,11.0,0.0
2020-01-31,1.30933,1.32089,1.3082500000000001,1.3204099999999999,57745.0,12.0,0.0
2020-02-03,1.31768,1.31842,1.29822,1.29921,60579.0,11.0,0.0
2020-02-04,1.29897,1.30456,1.29404,1.30289,55796.0,12.0,0.0
2020-02-05,1.3029,1.30694,1.29555,1.3,54446.0,12.0,0.0
2020-02-06,1.29961,1.30004,1.292,1.29277,48329.0,12.0,0.0
2020-02-07,1.29253,1.29583,1.28806,1.28821,54022.0,12.0,0.0
2020-02-10,1.28901,1.29455,1.28711,1.29143,51156.0,12.0,0.0
2020-02-11,1.29142,1.29673,1.28936,1.29508,50746.0,12.0,0.0
2020-02-12,1.2947600000000001,1.29911,1.29451,1.29574,48803.0,12.0,0.0
2020-02-13,1.29563,1.30692,1.29433,1.30393,56064.0,9.0,0.0
2020-02-14,1.30419,1.30631,1.30008,1.30456,42541.0,11.0,0.0
2020-02-17,1.30342,1.30535,1.29972,1.30036,31525.0,12.0,0.0
2020-02-18,1.30036,1.3048600000000001,1.29703,1.29955,47274.0,11.0,0.0
2020-02-19,1.29945,1.30226,1.29068,1.29172,42755.0,12.0,0.0
2020-02-20,1.29169,1.29278,1.28479,1.28799,45686.0,12.0,0.0
2020-02-21,1.28822,1.29804,1.2873299999999999,1.29529,45173.0,13.0,0.0
2020-02-24,1.29436,1.29541,1.28858,1.29236,45740.0,12.0,0.0
2020-02-25,1.29271,1.30175,1.29114,1.30041,49542.0,12.0,0.0
2020-02-26,1.30047,1.30077,1.28939,1.28974,52246.0,12.0,0.0
2020-02-27,1.2892000000000001,1.29455,1.28592,1.28829,58976.0,13.0,0.0
2020-02-28,1.28818,1.29187,1.27249,1.28152,73337.0,12.0,0.0
2020-03-02,1.27736,1.28499,1.27382,1.2751700000000001,75628.0,6.0,0.0
2020-03-03,1.2751299999999999,1.2843200000000001,1.27387,1.28107,77654.0,13.0,0.0
2020-03-04,1.28078,1.28718,1.27692,1.28708,54912.0,13.0,0.0
2020-03-05,1.28704,1.29681,1.28603,1.29531,44817.0,12.0,0.0
2020-03-06,1.29474,1.30522,1.29436,1.30451,78533.0,13.0,0.0
2020-03-09,1.30766,1.32002,1.3034,1.30925,147252.0,13.0,0.0
2020-03-10,1.30865,1.31151,1.28643,1.28787,104201.0,13.0,0.0
2020-03-11,1.28787,1.29756,1.28039,1.28175,82645.0,13.0,0.0
2020-03-12,1.28175,1.28482,1.24895,1.2576800000000001,115154.0,13.0,0.0
2020-03-13,1.25772,1.26234,1.22569,1.22767,125447.0,13.0,0.0
2020-03-16,1.24101,1.2422,1.22013,1.2268,156017.0,13.0,0.0
2020-03-17,1.22678,1.22723,1.20008,1.20571,165518.0,13.0,0.0
2020-03-18,1.20613,1.21288,1.14489,1.15773,160126.0,13.0,0.0
2020-03-19,1.15773,1.17923,1.1440299999999999,1.14648,175285.0,13.0,0.0
2020-03-20,1.14638,1.19331,1.14093,1.16195,164428.0,13.0,0.0
2020-03-23,1.1674,1.17131,1.1445,1.15326,160075.0,13.0,0.0
2020-03-24,1.15331,1.17985,1.14817,1.17429,138075.0,10.0,0.0
2020-03-25,1.17478,1.19723,1.16379,1.18704,130831.0,10.0,0.0
2020-03-26,1.18794,1.22286,1.1776200000000001,1.21529,126257.0,10.0,0.0
2020-03-27,1.21535,1.24848,1.21295,1.24489,149726.0,10.0,0.0
2020-03-30,1.24217,1.24664,1.23165,1.24124,110907.0,10.0,0.0
2020-03-31,1.24094,1.2472,1.22399,1.24123,129552.0,10.0,0.0
2020-04-01,1.24164,1.2443,1.23297,1.23714,91225.0,10.0,0.0
2020-04-02,1.23709,1.24747,1.23472,1.23948,96976.0,10.0,0.0
2020-04-03,1.23941,1.24024,1.22036,1.2264,85955.0,10.0,0.0
2020-04-06,1.22262,1.23264,1.22091,1.22306,78165.0,10.0,0.0
2020-04-07,1.22256,1.23837,1.21627,1.23307,84918.0,10.0,0.0
2020-04-08,1.23278,1.24187,1.22873,1.23777,67860.0,10.0,0.0
2020-04-09,1.23723,1.24827,1.23589,1.24516,70608.0,10.0,0.0
2020-04-10,1.24524,1.24856,1.24431,1.24431,28091.0,10.0,0.0
2020-04-13,1.24495,1.2536399999999999,1.24487,1.25048,40628.0,10.0,0.0
2020-04-14,1.25047,1.26465,1.25008,1.26192,61532.0,10.0,0.0
2020-04-15,1.26176,1.263,1.2435100000000001,1.25126,61343.0,10.0,0.0
2020-04-16,1.25165,1.2527599999999999,1.24076,1.24525,66455.0,10.0,0.0
2020-04-17,1.24554,1.25227,1.2406,1.24954,62360.0,10.0,0.0
2020-04-20,1.24961,1.24992,1.24154,1.24301,52128.0,10.0,0.0
2020-04-21,1.24288,1.24478,1.22461,1.22881,69139.0,10.0,0.0
2020-04-22,1.22835,1.23851,1.22738,1.23319,46201.0,10.0,0.0
2020-04-23,1.23304,1.2414100000000001,1.23071,1.23433,54258.0,10.0,0.0
2020-04-24,1.23429,1.23757,1.22967,1.23592,44606.0,10.0,0.0
2020-04-27,1.23614,1.24542,1.23588,1.2427,39999.0,10.0,0.0
2020-04-28,1.2427,1.2518099999999999,1.24031,1.242,43490.0,10.0,0.0
2020-04-29,1.2417,1.2484899999999999,1.23881,1.24663,45067.0,10.0,0.0
2020-04-30,1.24604,1.26423,1.24288,1.2589000000000001,58707.0,10.0,0.0
2020-05-01,1.25851,1.26001,1.24821,1.24921,43108.0,10.0,0.0
2020-05-04,1.24844,1.24847,1.24044,1.2442199999999999,44389.0,10.0,0.0
2020-05-05,1.2441,1.24829,1.24193,1.24315,46602.0,10.0,0.0
2020-05-06,1.24295,1.24493,1.23343,1.23373,44598.0,10.0,0.0
2020-05-07,1.23445,1.24167,1.2265,1.2358,49250.0,10.0,0.0
2020-05-08,1.23496,1.24644,1.23464,1.23955,33974.0,10.0,0.0
2020-05-11,1.24066,1.24348,1.22794,1.23276,44479.0,10.0,0.0
2020-05-12,1.23247,1.23745,1.22521,1.22547,49772.0,10.0,0.0
2020-05-13,1.22532,1.23368,1.22079,1.22313,55235.0,10.0,0.0
2020-05-14,1.22218,1.22398,1.2163599999999999,1.22212,50292.0,10.0,0.0
2020-05-15,1.22202,1.22372,1.20976,1.20989,49260.0,10.0,0.0
2020-05-18,1.20777,1.22261,1.20728,1.21916,48289.0,10.0,0.0
2020-05-19,1.21918,1.22945,1.21811,1.22428,48313.0,10.0,0.0
2020-05-20,1.22494,1.22859,1.22196,1.22333,44526.0,10.0,0.0
2020-05-21,1.22415,1.22489,1.21847,1.2219,45291.0,10.0,0.0
2020-05-22,1.2214,1.2233100000000001,1.21608,1.21637,40671.0,10.0,0.0
2020-05-25,1.21721,1.22028,1.21632,1.2184599999999999,29950.0,10.0,0.0
2020-05-26,1.21832,1.23629,1.21778,1.23278,45074.0,10.0,0.0
2020-05-27,1.23266,1.2353399999999999,1.2203,1.22593,61788.0,10.0,0.0
2020-05-28,1.22571,1.23444,1.22327,1.2316,55200.0,10.0,0.0
2020-05-29,1.23117,1.23933,1.22898,1.23441,72319.0,10.0,0.0
2020-06-01,1.23194,1.25064,1.23194,1.24878,53766.0,10.0,0.0
2020-06-02,1.2488,1.25756,1.24779,1.25501,59007.0,10.0,0.0
2020-06-03,1.25484,1.26148,1.25444,1.2572999999999999,63917.0,10.0,0.0
2020-06-04,1.25685,1.26327,1.25003,1.25965,66173.0,10.0,0.0
2020-06-05,1.25957,1.27308,1.25827,1.26668,67131.0,10.0,0.0
2020-06-08,1.26807,1.27353,1.26274,1.27219,49030.0,10.0,0.0
2020-06-09,1.27218,1.27556,1.2616800000000001,1.27274,57413.0,10.0,0.0
2020-06-10,1.27237,1.28125,1.2705899999999999,1.27467,77732.0,5.0,0.0
2020-06-11,1.27433,1.27538,1.25854,1.2601,90407.0,10.0,0.0
2020-06-12,1.25994,1.26528,1.24726,1.25375,91085.0,10.0,0.0
2020-06-15,1.25098,1.26067,1.24537,1.2604199999999999,82053.0,10.0,0.0
2020-06-16,1.2604600000000001,1.26872,1.2551700000000001,1.25704,84900.0,8.0,0.0
2020-06-17,1.25705,1.2588300000000001,1.25102,1.25545,73875.0,8.0,0.0
2020-06-18,1.25553,1.25666,1.24009,1.24234,70091.0,8.0,0.0
2020-06-19,1.24058,1.24552,1.23386,1.23472,61451.0,8.0,0.0
2020-06-22,1.23387,1.24765,1.23344,1.24675,52682.0,8.0,0.0
2020-06-23,1.2458,1.25317,1.24313,1.2518799999999999,64772.0,8.0,0.0
2020-06-24,1.25135,1.25424,1.24134,1.24136,65014.0,8.0,0.0
2020-06-25,1.24122,1.24635,1.2388,1.24172,55581.0,8.0,0.0
2020-06-26,1.24216,1.24364,1.23133,1.23345,46718.0,8.0,0.0
2020-06-29,1.23335,1.23885,1.22505,1.22969,43811.0,8.0,0.0
2020-06-30,1.22962,1.24013,1.22567,1.24001,47743.0,8.0,0.0
2020-07-01,1.23983,1.24901,1.23589,1.24747,47397.0,8.0,0.0
2020-07-02,1.24638,1.25296,1.24559,1.24671,45663.0,8.0,0.0
2020-07-03,1.24648,1.24863,1.24375,1.24815,40304.0,8.0,0.0
2020-07-06,1.2462900000000001,1.25201,1.24603,1.24915,41862.0,8.0,0.0
2020-07-07,1.24872,1.2591999999999999,1.24621,1.25403,47075.0,8.0,0.0
2020-07-08,1.25438,1.2622900000000001,1.25081,1.26094,49538.0,8.0,0.0
2020-07-09,1.26097,1.26695,1.25909,1.26062,53732.0,8.0,0.0
2020-07-10,1.26054,1.26637,1.25664,1.26214,41741.0,8.0,0.0
2020-07-13,1.26309,1.2665899999999999,1.25495,1.25535,44822.0,8.0,0.0
2020-07-14,1.25528,1.25635,1.2479,1.25529,53361.0,8.0,0.0
2020-07-15,1.25458,1.26494,1.25434,1.25871,46736.0,8.0,0.0
2020-07-16,1.25777,1.26244,1.25191,1.25532,44829.0,8.0,0.0
2020-07-17,1.25515,1.25739,1.25108,1.25655,34082.0,8.0,0.0
2020-07-20,1.2552400000000001,1.2665600000000001,1.2517,1.26623,40545.0,8.0,0.0
2020-07-21,1.26532,1.2768,1.26501,1.27309,46195.0,8.0,0.0
2020-07-22,1.27272,1.27433,1.26433,1.27335,53160.0,8.0,0.0
2020-07-23,1.27193,1.2759800000000001,1.26728,1.27399,54465.0,8.0,0.0
2020-07-24,1.27252,1.2803499999999999,1.27169,1.27935,48086.0,8.0,0.0
2020-07-27,1.2790599999999999,1.29024,1.2777,1.28816,48195.0,8.0,0.0
2020-07-28,1.2877,1.29527,1.28376,1.2931599999999999,50890.0,8.0,0.0
2020-07-29,1.29261,1.30129,1.29119,1.2996400000000001,52658.0,8.0,0.0
2020-07-30,1.29892,1.31026,1.2944,1.30949,56078.0,8.0,0.0
2020-07-31,1.30929,1.317,1.30698,1.30843,68302.0,8.0,0.0
2020-08-03,1.30755,1.3112,1.30044,1.30743,55723.0,8.0,0.0
2020-08-04,1.30747,1.3107199999999999,1.29807,1.30716,48405.0,8.0,0.0
2020-08-05,1.30626,1.3161,1.3051300000000001,1.31137,48631.0,8.0,0.0
